Wall time,Step,Value
1677194670.431191,49,29.534076690673828
1677195441.0054364,99,19.253623962402344
1677196131.7177799,149,15.5288667678833
1677196819.2555773,199,12.50162124633789
1677197444.7248251,249,12.825702667236328
1677198079.3619566,299,11.197164535522461
1677198625.7081943,349,11.222332000732422
1677199200.1610582,399,10.821887969970703
1677199647.7620661,449,10.554916381835938
1677200086.4172268,499,12.266027450561523
1677200438.3363853,549,11.835247039794922
1677200811.4182925,599,12.050846099853516
1677201113.4669917,649,10.780210494995117
1677201380.660169,699,11.091653823852539
1677201586.830618,749,10.769952774047852
1677201778.528106,799,10.438638687133789
1677201919.9965303,849,8.288009643554688
1677202034.2945285,899,7.427957534790039
1677202106.3122427,949,7.774832248687744
1677202841.0979974,999,6.3712477684021
1677202859.6761475,1049,5.811103343963623
1677202879.2560241,1099,6.292953968048096
1677202898.5147972,1149,5.559113502502441
1677202918.8190622,1199,5.172574996948242
1677202938.257487,1249,5.998370170593262
1677202958.024438,1299,5.373150825500488
1677202977.6329832,1349,4.685233116149902
1677202998.6570656,1399,5.344491958618164
1677203017.1674361,1449,5.2591681480407715
1677203037.7293065,1499,4.975508213043213
1677203057.2924142,1549,5.090677738189697
1677203077.2337873,1599,4.87729549407959
1677203096.0160897,1649,4.663753986358643
1677203115.46471,1699,4.5886077880859375
1677203133.996566,1749,5.7509284019470215
1677203153.8402355,1799,5.186014175415039
1677203173.3660576,1849,4.809422492980957
1677203193.546777,1899,4.4074554443359375
1677203214.9355023,1949,4.225888252258301
1677203265.5752065,1999,4.280434608459473
1677203286.0807612,2049,4.403957366943359
1677203305.7518668,2099,5.1941118240356445
1677203326.1215506,2149,5.522678852081299
1677203345.3266013,2199,4.719447135925293
1677203364.9611452,2249,4.022665977478027
1677203383.5968575,2299,4.548323631286621
1677203403.5453417,2349,5.170273780822754
1677203423.1267748,2399,4.376605033874512
1677203445.2144508,2449,4.332241058349609
1677203466.016169,2499,4.719115257263184
1677203486.168465,2549,5.459668159484863
1677203504.6337945,2599,4.362563610076904
1677203524.0805154,2649,4.070200443267822
1677203542.751737,2699,5.238073825836182
1677203563.0683892,2749,4.213647842407227
1677203582.741206,2799,3.9689462184906006
1677203602.8951194,2849,4.42030143737793
1677203622.1073227,2899,4.245705604553223
1677203641.4854198,2949,3.8391952514648438
1677203693.865002,2999,4.2767252922058105
1677203714.233487,3049,3.9579999446868896
1677203733.3279896,3099,4.256039142608643
1677203753.0865035,3149,3.958155632019043
1677203771.4782507,3199,4.61344051361084
1677203791.4086308,3249,4.31390905380249
1677203811.1102183,3299,3.950382947921753
1677203831.462973,3349,5.214084625244141
1677203851.0370495,3399,4.529445648193359
1677203870.658803,3449,3.709944725036621
1677203888.976087,3499,4.687983989715576
1677203908.765903,3549,5.335935592651367
1677203930.4276054,3599,4.989648818969727
1677203950.6216218,3649,4.198061466217041
1677203970.5209198,3699,5.230419158935547
1677203990.8785589,3749,4.153593063354492
1677204010.0510132,3799,4.59859561920166
1677204029.548459,3849,3.8024792671203613
1677204048.143575,3899,4.491952896118164
1677204067.853507,3949,4.543215751647949
1677204121.1221037,3999,4.363032341003418
1677204139.6122043,4049,4.210760116577148
1677204163.092372,4099,4.089110374450684
1677204181.4560187,4149,4.394060134887695
1677204201.2901266,4199,3.8915767669677734
1677204220.8505478,4249,4.246321678161621
1677204241.1674063,4299,3.7990312576293945
1677204260.8226347,4349,4.547330379486084
1677204280.3646605,4399,3.8751540184020996
1677204298.8395522,4449,4.304264068603516
1677204318.3763459,4499,4.213315010070801
1677204337.7044246,4549,4.209165573120117
1677204358.037073,4599,3.981921672821045
1677204379.7208495,4649,3.9035873413085938
1677204400.6505768,4699,3.948249578475952
1677204419.6889186,4749,4.007504463195801
1677204439.346014,4799,4.218155384063721
1677204458.1377423,4849,3.509333848953247
1677204478.1346579,4899,4.025918960571289
1677204497.87374,4949,3.365154266357422
1677204550.1076307,4999,3.473625898361206
1677204568.630993,5049,4.1782402992248535
1677204589.000535,5099,3.5903117656707764
1677204610.9009383,5149,3.862717628479004
1677204631.3612864,5199,3.976902484893799
1677204651.136389,5249,4.317333221435547
1677204671.4523137,5299,3.5912699699401855
1677204689.9515963,5349,5.529669761657715
1677204709.6295717,5399,3.6517908573150635
1677204728.4982371,5449,3.862191677093506
1677204749.0364647,5499,3.4781975746154785
1677204768.7761073,5549,3.6982851028442383
1677204789.421664,5599,3.870177984237671
1677204810.0127087,5649,3.8025269508361816
1677204831.9688475,5699,4.161075115203857
1677204850.5774596,5749,4.423645973205566
1677204869.9818618,5799,3.917876958847046
1677204889.1194901,5849,3.5568442344665527
1677204909.6418302,5899,3.1897125244140625
1677204929.2963643,5949,3.330165147781372
1677204980.4785523,5999,3.7335152626037598
1677204999.8992553,6049,3.9329233169555664
1677205019.7426207,6099,3.1539440155029297
1677205041.9049077,6149,3.6330413818359375
1677205061.4487736,6199,3.841951847076416
1677205081.7500453,6249,4.2125396728515625
1677205101.156694,6299,3.7130868434906006
1677205120.9350708,6349,4.617666721343994
1677205139.5843606,6399,3.8512260913848877
1677205159.4756846,6449,3.1712422370910645
1677205178.0466413,6499,3.5763275623321533
1677205198.3025613,6549,4.135721683502197
1677205218.1743076,6599,3.4952564239501953
1677205240.7206867,6649,4.245804786682129
1677205260.463349,6699,3.405217409133911
1677205280.8359902,6749,3.2557079792022705
1677205299.4133031,6799,4.289003849029541
